date,tournament,surface,ace_pct,surface_speed
2016-04-25,Munich,Clay,0.064,0.71
2016-04-25,Istanbul,Clay,0.057,0.67
2016-05-02,Madrid Masters,Clay,0.086,0.87
2016-05-09,Rome Masters,Clay,0.07200000000000001,0.77
2016-05-16,Geneva,Clay,0.083,0.78
2016-05-16,Nice,Clay,0.063,0.78
2016-05-23,Roland Garros,Clay,0.075,0.77
2016-06-06,Stuttgart,Grass,0.135,1.39
2016-06-06,s Hertogenbosch,Grass,0.139,1.08
2016-06-13,Queen's Club,Grass,0.145,1.19
2016-06-13,Halle,Grass,0.122,1.16
2016-06-20,Nottingham,Grass,0.11900000000000001,1.15
2016-06-27,Wimbledon,Grass,0.11800000000000001,1.05
2016-07-11,Hamburg,Clay,0.055999999999999994,0.59
2016-07-11,Bastad,Clay,0.054000000000000006,0.66
2016-07-11,Newport,Grass,0.109,1.1
2016-07-18,Umag,Clay,0.054000000000000006,0.75
2016-07-18,Washington,Hard,0.193,1.26
2016-07-18,Gstaad,Clay,0.113,1.05
2016-07-18,Kitzbuhel,Clay,0.067,0.98
2016-07-25,Canada Masters,Hard,0.126,1.16
2016-08-01,Atlanta,Hard,0.172,1.06
2016-08-08,Rio Olympics,Hard,0.071,0.94
2016-08-08,Los Cabos,Hard,0.122,0.86
2016-08-15,Cincinnati Masters,Hard,0.14,1.2
2016-08-22,Winston-Salem,Hard,0.105,1.06
2016-08-29,US Open,Hard,0.09,0.9
2016-09-19,St. Petersburg,Hard,0.085,1.0
2016-09-19,Metz,Hard,0.126,1.38
2016-09-26,Chengdu,Hard,0.115,1.27
2016-09-26,Shenzhen,Hard,0.129,1.5
2016-10-03,Beijing,Hard,0.096,1.03
2016-10-03,Tokyo,Hard,0.115,1.13
2016-10-10,Shanghai Masters,Hard,0.107,1.11
2016-10-17,Moscow,Hard,0.07,0.98
2016-10-17,Stockholm,Hard,0.086,0.77
2016-10-17,Antwerp,Hard,0.083,0.96
2016-10-24,Basel,Hard,0.106,1.14
2016-10-24,Vienna,Hard,0.128,1.02
2016-10-31,Paris Masters,Hard,0.13699999999999998,1.19
2016-11-14,Tour Finals,Hard,0.10300000000000001,1.11
2017-01-02,Brisbane,Hard,0.098,0.99
2017-01-02,Chennai,Hard,0.077,0.99
2017-01-02,Doha,Hard,0.11699999999999999,1.02
2017-01-09,Sydney,Hard,0.10300000000000001,1.1
2017-01-09,Auckland,Hard,0.125,1.11
2017-01-16,Australian Open,Hard,0.111,1.15
2017-02-06,Montpellier,Hard,0.11900000000000001,1.12
2017-02-06,Quito,Clay,0.139,1.58
2017-02-06,Sofia,Hard,0.107,1.33
2017-02-13,Memphis,Hard,0.08800000000000001,1.04
2017-02-13,Buenos Aires,Clay,0.066,0.88
2017-02-13,Rotterdam,Hard,0.111,1.09
2017-02-20,Rio de Janeiro,Clay,0.053,0.68
2017-02-20,Delray Beach,Hard,0.115,0.97
2017-02-20,Marseille,Hard,0.14,1.34
2017-02-27,Acapulco,Hard,0.11800000000000001,0.92
2017-02-27,Sao Paulo,Clay,0.061,0.92
2017-02-27,Dubai,Hard,0.084,0.91
2017-03-06,Indian Wells Masters,Hard,0.099,1.03
2017-03-20,Miami Masters,Hard,0.087,0.84
2017-04-10,Houston,Clay,0.11699999999999999,0.95
2017-04-10,Marrakech,Clay,0.076,0.77
2017-04-17,Monte Carlo Masters,Clay,0.052000000000000005,0.5
